(-108, -330)
(-88, -344)
(-87, -345)
(-80, -350)
(-71, -357)
(-41, -375)
(-30, -379)
(-26, -381)
(-25, -371)
(-24, -367)
(-23, -369)
(-23, -372)
(-25, -369)
(-13, -370)
(-10, -377)
(-1, -388)
(1, -382)
(-8, -376)
(-10, -373)
(-7, -378)
(-7, -376)
(-10, -375)
(-8, -377)
(-1, -380)
(21, -390)
(39, -400)
(84, -415)
(93, -418)
(100, -418)
(111, -422)
(128, -425)
(136, -425)
(160, -425)
(177, -424)
(187, -423)
(207, -418)
(218, -415)
(232, -411)
(242, -406)
(267, -395)
(287, -382)
(294, -375)
(317, -362)
(363, -346)
(395, -323)
(401, -321)
(416, -309)
(424, -306)
(437, -298)
(449, -290)
(453, -287)
(469, -277)
(478, -274)
(492, -265)
(495, -262)
(510, -259)
(522, -253)
(528, -249)
(539, -240)
(543, -235)
(563, -222)
(571, -215)
(559, -201)
(567, -194)
(574, -185)
(585, -170)
(588, -167)
(588, -167)
(585, -166)
(568, -183)
(542, -202)
(529, -208)
(530, -207)
(531, -208)
(530, -208)
(529, -208)
(524, -209)
(522, -211)
(535, -201)
(541, -198)
(555, -184)
(569, -167)
(575, -162)
(590, -139)
(598, -127)
(600, -107)
(604, -94)
(606, -79)
(610, -61)
(612, -51)
(610, -28)
(609, -18)
(606, -3)
(603, 5)
(601, 13)
(600, 16)
(601, 18)
(590, 39)
(587, 46)
(584, 56)
(579, 63)
(574, 75)
(566, 86)
(553, 99)
(550, 110)
(549, 110)
(548, 107)
(547, 110)
(548, 111)
(549, 110)
(541, 118)
(529, 137)
(526, 141)
(517, 151)
(505, 164)
(478, 191)
(478, 192)
(473, 195)
(469, 197)
(457, 207)
(443, 219)
(436, 224)
(423, 231)
(415, 235)
(397, 250)
(393, 253)
(379, 260)
(366, 267)
(348, 278)
(338, 287)
(330, 292)
(319, 295)
(307, 301)
(298, 309)
(292, 312)
(274, 319)
(248, 332)
(232, 334)
(222, 339)
(224, 338)
(221, 337)
(220, 342)
(223, 338)
(221, 336)
(219, 340)
(223, 336)
(221, 334)
(188, 350)
(174, 350)
(154, 352)
(132, 359)
(93, 355)
(58, 355)
(32, 350)
(10, 344)
(-10, 341)
(-39, 317)
(-62, 307)
(-88, 281)
(-96, 272)
(-135, 241)
(-145, 217)
(-152, 218)
(-155, 196)
(-171, 177)
(-203, 119)
(-209, 88)
(-236, 13)
(-238, -11)
(-237, -87)
(-243, -158)
(-233, -211)
(-217, -307)
(-203, -362)
(-138, -477)
(-95, -552)
(18, -701)
(138, -804)
(218, -862)
(347, -948)
(416, -994)
(657, -1140)
(794, -1172)
(973, -1197)
(1072, -1201)
(1211, -1179)
(1209, -1174)
(1215, -1180)
(1218, -1188)
(1223, -1191)
(1239, -1193)
(1330, -1232)
(1451, -1279)
(1593, -1325)
(1727, -1357)
(-4096, -1402)
(-4096, -1394)
(-4096, -1362)
(-4096, -1315)
(-4096, -1188)
(-4096, -1098)
(-4096, -904)
(-4096, -685)
(-4096, -580)
(-4096, -412)
(-4096, -264)
(-4096, 29)
(-4096, 189)
(-4096, 477)
(-4096, 738)
(-4096, 891)
(-4096, 1211)
(-4096, 1367)
(1580, 1690)
(1287, 1902)
(835, -4096)
(529, -4096)
(169, -4096)
(-441, -4096)
(-770, -4096)
(-1657, -4096)
(-4096, -4096)
(-4096, -4096)
(-4096, -4096)
(-4096, -4096)
(-4096, 1615)
(-4096, 1390)
(-4096, 1128)
(-4096, 918)
(-1794, 693)
(-1711, 603)
(-1594, 479)
(-1542, 420)
(-1345, 240)
(-1191, 122)
(-1183, 116)
(-1068, 34)
(-1027, 6)
(-927, -51)
(-906, -61)
(-799, -117)
(-797, -120)
(-797, -120)
(-796, -118)
(-795, -118)
(-796, -120)
(-799, -119)
(-796, -115)
(-875, -70)
(-1831, 709)
(-4096, 1166)
(-4096, 1168)
(-4096, 1174)
(-4096, 1195)
(-4096, -4096)
(-4096, -4096)
(-1409, -4096)
(-1381, -4096)
(-962, -4096)
(-637, -4096)
(-575, -4096)
(-460, -4096)
(-357, -4096)
(916, -4096)
(1224, -4096)
(1259, -4096)
